year;region;crime_per
2017;Свердловская область;134.66
2017;Севастополь;113.33
2017;Северная Осетия;101.6
2017;Смоленская область;136.4
2017;Ставропольский край;113.13
2017;Тамбовская область;110.64
2017;Татарстан;118.64
2017;Тверская область;154.62
2017;Томская область;174.1
2017;Тульская область;83.7
2017;Тюменская область;178.98
2017;Удмуртия;159.37
2017;Ульяновская область;108.44
2017;Хабаровский край;180.18
2017;Хакасия;214.41
2017;Ханты-Мансийский автономный округ;137.59
2017;Челябинская область;194.77
2017;Чечня;27.94
2017;Чувашия;103.52
2017;Чукотский автономный округ;142.91
2017;Якутия;128.78
2017;Ямало-Ненецкий автономный округ;154.07
2017;Ярославская область;140.65
